,index,epoch,train_loss,val_loss,v_accuracy,v_precision,v_recall,v_f1,params,model_num
16,16,16,2.4608104922663188e-06,5.572900548577308e-06,0.9856999516487122,0.9857000112533569,0.9857000112533569,0.9857000112533569,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.001}",1
17,17,17,6.569882202711597e-07,5.597611144185066e-06,0.9868999719619751,0.9868999719619751,0.9868999719619751,0.9868999719619751,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.001}",1
18,18,18,6.162092631711857e-07,5.0825808197259905e-06,0.9863999485969543,0.9864000082015991,0.9864000082015991,0.9864000082015991,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.001}",1
19,19,19,1.8838935602616402e-06,5.721965432167053e-06,0.9869999885559082,0.9869999885559082,0.9869999885559082,0.9869999885559082,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.001}",1
20,0,0,0.035716164857149124,0.00023020355701446532,0.11169999837875366,0.11169999837875366,0.11169999837875366,0.11169999837875366,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
21,1,1,0.00011283235653536394,1.696818470954895e-05,0.9460999965667725,0.9460999965667725,0.9460999965667725,0.9460999965667725,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
22,2,2,0.008053815923631191,1.5483902394771575e-05,0.95169997215271,0.95169997215271,0.95169997215271,0.95169997215271,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
23,3,3,6.393493094947189e-06,1.1797183752059937e-05,0.9655999541282654,0.9656000137329102,0.9656000137329102,0.9656000137329102,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
24,4,4,0.00012516086280811578,9.969881922006607e-06,0.9691999554634094,0.9692000150680542,0.9692000150680542,0.9692000150680542,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
25,5,5,4.416546653374098e-05,1.0649748891592026e-05,0.9709999561309814,0.9710000157356262,0.9710000157356262,0.9710000157356262,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
26,6,6,1.4678420484415255e-05,1.0338520258665084e-05,0.9718999862670898,0.9718999862670898,0.9718999862670898,0.9718999862670898,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
27,7,7,0.006242681760340929,9.826023876667023e-06,0.9718999862670898,0.9718999862670898,0.9718999862670898,0.9718999862670898,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
28,8,8,0.002881227759644389,1.1756307631731033e-05,0.9684999585151672,0.968500018119812,0.968500018119812,0.968500018119812,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
29,9,9,1.1842333151435014e-05,1.2359996140003204e-05,0.9673999547958374,0.9674000144004822,0.9674000144004822,0.9674000144004822,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
30,10,10,4.9920467972697224e-06,1.0595150291919708e-05,0.9734999537467957,0.9735000133514404,0.9735000133514404,0.9735000133514404,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
31,11,11,0.0004348863731138408,1.0300041735172272e-05,0.974399983882904,0.974399983882904,0.974399983882904,0.974399983882904,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
32,12,12,3.0143119147396646e-05,1.2544052302837372e-05,0.9673999547958374,0.9674000144004822,0.9674000144004822,0.9674000144004822,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
33,13,13,0.00814185943454504,1.041882187128067e-05,0.9740999937057495,0.9740999937057495,0.9740999937057495,0.9740999937057495,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
34,14,14,8.117031029541977e-06,1.0228893160820007e-05,0.9764999747276306,0.9764999747276306,0.9764999747276306,0.9764999747276306,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
35,15,15,2.793954578805824e-08,1.1223435401916504e-05,0.974399983882904,0.974399983882904,0.974399983882904,0.974399983882904,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
36,16,16,4.267958502168767e-06,1.2737223505973817e-05,0.9709999561309814,0.9710000157356262,0.9710000157356262,0.9710000157356262,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
37,17,17,1.0945582289423328e-05,1.1704011261463165e-05,0.9763000011444092,0.9763000011444092,0.9763000011444092,0.9763000011444092,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
38,18,18,3.5946206367043487e-07,1.7189936339855193e-05,0.9686999917030334,0.9686999917030334,0.9686999917030334,0.9686999917030334,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
39,19,19,9.817119916988304e-07,1.34941965341568e-05,0.971299946308136,0.9713000059127808,0.9713000059127808,0.9713000059127808,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 8, 'LEARNING_RATE': 0.01}",2
40,0,0,1.7390681023243815e-05,1.3999536633491517e-05,0.9596999883651733,0.9596999883651733,0.9596999883651733,0.9596999883651733,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
