,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
190,1.495082640647888,0.13650068818092798,0.01107168197631836,0.0015890602625497857,100.0,,sag,"{'C': 100.0, 'penalty': None, 'solver': 'sag'}",0.9782608695652174,0.9347826086956522,1.0,0.9565217391304348,0.9782608695652174,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9581159420289855,0.02312698185132857,50,0.9696969696969697,0.9032258064516129,1.0,0.9411764705882353,0.9714285714285714,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9142857142857143,0.9410464503325853,0.03405444536468245,28,1.0,1.0,1.0,0.9411764705882353,0.9444444444444444,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.9543412452700377,0.04689884446596779,61,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9655172413793104,0.9107505070993913,1.0,0.9898580121703854,0.9959432048681542,0.9873949579831932,0.9719827586206897,0.9913793103448275,0.9849137931034483,0.9956896551724138,0.9793429440741814,0.02504206947059976,77
191,1.6722325325012206,0.23900052897184987,0.009189963340759277,0.006925976391822823,100.0,,saga,"{'C': 100.0, 'penalty': None, 'solver': 'saga'}",0.9782608695652174,0.9347826086956522,1.0,0.9565217391304348,0.9565217391304348,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9555555555555556,0.9581642512077295,0.02082702768117074,27,0.9696969696969697,0.9032258064516129,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9411764705882353,0.9407103158788038,0.03155431216446259,44,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8888888888888888,0.9586928104575163,0.03683492205452647,38,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9275735294117646,0.06580882352941177,62,0.9675456389452333,0.9188640973630832,1.0,0.9918864097363083,0.9959432048681542,0.9894957983193278,0.9741379310344828,0.9956896551724138,0.9892241379310345,0.9956896551724138,0.9818476528542452,0.023143019088721947,54
192,0.07056150436401368,0.013592725773153536,0.013001585006713867,0.005756016195763102,1000.0,l2,lbfgs,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'lbfgs'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9559420289855073,0.01988179496331127,75,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9411764705882353,0.9714285714285714,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9142857142857143,0.9381893074754423,0.029938223230183553,79,1.0,1.0,0.9444444444444444,0.9411764705882353,0.9444444444444444,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.9487856897144823,0.044384230229004035,87,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9675456389452333,0.8904665314401623,1.0,0.9898580121703854,0.9959432048681542,0.9852941176470589,0.9741379310344827,0.980603448275862,0.997844827586207,0.997844827586207,0.9779538539553752,0.030952356255865128,106
193,0.008607912063598632,0.006908318401164038,0.013512444496154786,0.006644303611646223,1000.0,l2,liblinear,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9555555555555556,0.9333333333333333,0.9111111111111111,0.9777777777777777,0.9333333333333333,0.953719806763285,0.02324248926416948,84,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9411764705882353,0.9714285714285714,0.9411764705882353,0.896551724137931,0.875,0.9696969696969697,0.9142857142857143,0.9353667268302811,0.03413758143483704,84,1.0,1.0,0.9444444444444444,0.9411764705882353,0.9444444444444444,0.9411764705882353,1.0,0.875,0.9411764705882353,0.8421052631578947,0.9429523563811489,0.04956296383525343,110,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9675456389452333,0.8904665314401623,1.0,0.9898580121703854,0.9959432048681542,0.9852941176470589,0.9719827586206897,0.980603448275862,0.997844827586207,0.997844827586207,0.9777383367139958,0.03098566089797719,111
194,0.032378101348876955,0.007594907811499509,0.009938859939575195,0.006251993434000444,1000.0,l2,newton-cg,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'newton-cg'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9565217391304348,0.9782608695652174,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9559420289855073,0.01988179496331127,75,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9411764705882353,0.9714285714285714,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9142857142857143,0.9381893074754423,0.029938223230183553,79,1.0,1.0,0.9444444444444444,0.9411764705882353,0.9444444444444444,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.9487856897144823,0.044384230229004035,87,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9675456389452333,0.8904665314401623,1.0,0.9898580121703854,0.9959432048681542,0.9852941176470589,0.9741379310344827,0.980603448275862,0.997844827586207,0.997844827586207,0.9779538539553752,0.030952356255865128,106
195,0.007306504249572754,0.0061780126310286764,0.010305953025817872,0.007997288998347776,1000.0,l2,newton-cholesky,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'newton-cholesky'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9565217391304348,0.9565217391304348,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9537681159420289,0.01846023875645995,83,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9411764705882353,0.9444444444444444,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9142857142857143,0.9354908947770297,0.02797219308750865,83,1.0,1.0,0.9444444444444444,0.9411764705882353,0.8947368421052632,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.943814929480564,0.04728101719989884,94,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9675456389452333,0.8904665314401623,1.0,0.9898580121703854,0.9939148073022313,0.9852941176470589,0.9741379310344827,0.980603448275862,0.997844827586207,0.997844827586207,0.9777510141987829,0.030840245497902253,110
196,1.453362798690796,0.15127362881348266,0.0122999906539917,0.0009005682987872325,1000.0,l2,sag,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'sag'}",0.9782608695652174,0.9347826086956522,1.0,0.9565217391304348,0.9782608695652174,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9333333333333333,0.9581159420289855,0.02312698185132857,50,0.9696969696969697,0.9032258064516129,1.0,0.9411764705882353,0.9714285714285714,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9142857142857143,0.9410464503325853,0.03405444536468245,28,1.0,1.0,1.0,0.9411764705882353,0.9444444444444444,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8421052631578947,0.9543412452700377,0.04689884446596779,61,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,1.0,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9334558823529413,0.06929830114456265,26,0.9655172413793104,0.9107505070993913,1.0,0.9898580121703854,0.9959432048681542,0.9873949579831932,0.9719827586206897,0.9913793103448275,0.9849137931034483,0.9956896551724138,0.9793429440741814,0.02504206947059976,77
197,1.6597992181777954,0.2833160198431436,0.011657094955444336,0.004566380752665344,1000.0,l2,saga,"{'C': 1000.0, 'penalty': 'l2', 'solver': 'saga'}",0.9782608695652174,0.9347826086956522,1.0,0.9565217391304348,0.9565217391304348,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9777777777777777,0.9555555555555556,0.9581642512077295,0.02082702768117074,27,0.9696969696969697,0.9032258064516129,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.896551724137931,0.9032258064516129,0.9696969696969697,0.9411764705882353,0.9407103158788038,0.03155431216446259,44,1.0,1.0,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.9333333333333333,0.9411764705882353,0.8888888888888888,0.9586928104575163,0.03683492205452647,38,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9275735294117646,0.06580882352941177,62,0.9675456389452333,0.922920892494929,1.0,0.9918864097363083,0.9959432048681542,0.9894957983193278,0.9741379310344828,0.9956896551724138,0.9892241379310345,0.9956896551724138,0.9822533323674298,0.022044914131997193,46
198,0.00039985179901123045,0.0004897167579085838,0.0,0.0,1000.0,l1,lbfgs,"{'C': 1000.0, 'penalty': 'l1', 'solver': 'lbfgs'}",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,157,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,157
199,76.64970614910126,138.5763816477938,0.012373518943786622,0.0018602028003144827,1000.0,l1,liblinear,"{'C': 1000.0, 'penalty': 'l1', 'solver': 'liblinear'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9565217391304348,0.9347826086956522,0.9555555555555556,0.9333333333333333,0.9333333333333333,1.0,0.9333333333333333,0.953816425120773,0.023068530725880037,81,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9411764705882353,0.9142857142857143,0.9411764705882353,0.896551724137931,0.9032258064516129,1.0,0.9142857142857143,0.9355053247914598,0.0334444262953599,82,1.0,1.0,0.9444444444444444,0.9411764705882353,0.8888888888888888,0.9411764705882353,1.0,0.9333333333333333,1.0,0.8421052631578947,0.9491124871001031,0.05082550212821915,86,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8125,0.875,1.0,1.0,0.9275735294117646,0.06580882352941177,62,0.9695740365111563,0.8924949290060852,1.0,0.9918864097363083,0.9918864097363083,0.976890756302521,0.9612068965517242,0.9676724137931034,1.0,0.997844827586207,0.9749456679223414,0.030702124187920482,124
