,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,split5_train_precision,split6_train_precision,split7_train_precision,split8_train_precision,split9_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
328,0.008504581451416016,0.0018930304284207734,0.013038086891174316,0.0007578292565695563,0.0774263682681127,1,100.0,poly,"{'C': 0.0774263682681127, 'degree': 1, 'gamma': 100.0, 'kernel': 'poly'}",0.9782608695652174,0.9347826086956522,0.9782608695652174,0.9782608695652174,0.9565217391304348,0.9333333333333333,0.9555555555555556,1.0,0.9777777777777777,0.9555555555555556,0.9648309178743961,0.020203173479139497,100,0.9902200488997555,0.9853300733496333,0.9877750611246944,0.9902200488997555,0.9902200488997555,0.9926829268292683,0.9926829268292683,0.9829268292682927,0.9853658536585366,0.9902439024390244,0.9887667720197983,0.0031249969218887065,0.9696969696969697,0.9032258064516129,0.9714285714285714,0.9696969696969697,0.9411764705882353,0.9090909090909091,0.9333333333333333,1.0,0.9696969696969697,0.9411764705882353,0.9508522470571806,0.029001203923601625,100,0.9864864864864865,0.9795918367346937,0.983050847457627,0.9863945578231292,0.9865771812080537,0.9898305084745762,0.98989898989899,0.9764309764309764,0.9798657718120806,0.9864864864864865,0.9844613642813099,0.004314163830485911,1.0,1.0,0.9444444444444444,1.0,0.9411764705882353,0.9375,1.0,1.0,0.9411764705882353,0.8888888888888888,0.9653186274509805,0.037723716640207516,219,0.9931972789115646,0.993103448275862,0.9931506849315068,1.0,0.9865771812080537,1.0,1.0,0.9863945578231292,0.9864864864864865,1.0,0.9938909637636604,0.005616444498600849,0.9411764705882353,0.8235294117647058,1.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.875,1.0,1.0,1.0,0.9404411764705882,0.05959512328809451,61,0.9798657718120806,0.9664429530201343,0.9731543624161074,0.9731543624161074,0.9865771812080537,0.9798657718120806,0.98,0.9666666666666667,0.9733333333333334,0.9733333333333334,0.9752393736017897,0.006007040930142159,0.9614604462474645,0.9655172413793104,1.0,0.9979716024340771,0.9959432048681542,0.9873949579831933,0.9827586206896552,1.0,0.9892241379310345,0.9956896551724138,0.9875959866705303,0.013218112130023043,183,0.9990707279297883,0.9984770263293754,0.9971347444501808,0.997805885389778,0.9980123902942695,0.9971457224407931,0.9983846153846154,0.9976410256410256,0.9973589743589742,0.9976666666666667,0.9978697778885468,0.0005932573066917326
329,0.01945343017578125,0.0006300956881312648,0.01821303367614746,0.0003792696931386239,0.0774263682681127,1,100.0,rbf,"{'C': 0.0774263682681127, 'degree': 1, 'gamma': 100.0, 'kernel': 'rbf'}",0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6222222222222222,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.635217391304348,0.00789807057294591,343,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6365853658536585,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6351654839286779,0.0008707622119059368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,566,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
330,0.00399625301361084,0.0002983359269885178,0.012775802612304687,0.00042717326077764013,0.0774263682681127,8,1e-05,linear,"{'C': 0.0774263682681127, 'degree': 8, 'gamma': 1e-05, 'kernel': 'linear'}",0.9782608695652174,1.0,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9333333333333333,0.9333333333333333,1.0,0.9555555555555556,0.9555555555555556,0.9690821256038648,0.022739207922285908,73,0.9853300733496333,0.9828850855745721,0.9828850855745721,0.9779951100244498,0.9828850855745721,0.9829268292682927,0.9878048780487805,0.9804878048780488,0.9829268292682927,0.9853658536585366,0.983149263521975,0.002555404748911614,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9090909090909091,0.896551724137931,1.0,0.9375,0.9375,0.955943051201672,0.033228686096131645,71,0.9794520547945206,0.9759450171821306,0.9759450171821306,0.9690721649484537,0.9761092150170648,0.9761092150170648,0.983050847457627,0.9727891156462586,0.9761092150170648,0.9795918367346939,0.976417369899701,0.003621283664488944,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.98125,0.028641098093473996,148,1.0,1.0,1.0,0.9929577464788732,0.9930555555555556,0.9930555555555556,1.0,0.9930555555555556,1.0,1.0,0.997212441314554,0.0034141532820553423,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8125,1.0,0.9375,0.9375,0.9334558823529411,0.05135096392999641,122,0.959731543624161,0.9530201342281879,0.9530201342281879,0.9463087248322147,0.959731543624161,0.959731543624161,0.9666666666666667,0.9533333333333334,0.9533333333333334,0.96,0.9564876957494406,0.005432078758915329,0.9634888438133874,1.0,1.0,0.9979716024340771,0.9939148073022313,0.9873949579831932,0.9913793103448275,1.0,0.997844827586207,0.997844827586207,0.9929839177050128,0.010603995925498823,23,0.9980898296334538,0.9956375838926175,0.9953020134228188,0.9954827052142489,0.9963345379452763,0.9960657255264985,0.9966923076923078,0.9952820512820513,0.995,0.9956923076923077,0.9959579062301579,0.0008626380454603442
331,0.011735200881958008,0.0004578632380565747,0.01674189567565918,0.002195192094813534,0.0774263682681127,8,1e-05,poly,"{'C': 0.0774263682681127, 'degree': 8, 'gamma': 1e-05, 'kernel': 'poly'}",0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6222222222222222,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.635217391304348,0.00789807057294591,343,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6365853658536585,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6351654839286779,0.0008707622119059368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,566,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0
332,0.01368696689605713,0.0016838285709461622,0.01813664436340332,0.0023675337228603694,0.0774263682681127,8,1e-05,rbf,"{'C': 0.0774263682681127, 'degree': 8, 'gamma': 1e-05, 'kernel': 'rbf'}",0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6222222222222222,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.635217391304348,0.00789807057294591,343,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6365853658536585,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6351654839286779,0.0008707622119059368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9432048681541582,1.0,0.9959432048681542,0.9918864097363083,0.973630831643002,0.9915966386554622,0.978448275862069,0.9956896551724138,0.997844827586207,0.9913793103448275,0.9859624022022601,0.016326052436596655,208,0.9891584925141972,0.9864223025296851,0.9866029943211151,0.9859318533815178,0.987429013939081,0.9868343233305048,0.9885641025641027,0.986,0.986,0.986102564102564,0.9869045646682768,0.001079981746283899
333,0.0040083169937133786,0.000344430613697577,0.012753534317016601,0.00047514821157294287,0.0774263682681127,8,5.994842503189409e-05,linear,"{'C': 0.0774263682681127, 'degree': 8, 'gamma': 5.994842503189409e-05, 'kernel': 'linear'}",0.9782608695652174,1.0,0.9782608695652174,0.9782608695652174,0.9782608695652174,0.9333333333333333,0.9333333333333333,1.0,0.9555555555555556,0.9555555555555556,0.9690821256038648,0.022739207922285908,73,0.9853300733496333,0.9828850855745721,0.9828850855745721,0.9779951100244498,0.9828850855745721,0.9829268292682927,0.9878048780487805,0.9804878048780488,0.9829268292682927,0.9853658536585366,0.983149263521975,0.002555404748911614,0.9696969696969697,1.0,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.9090909090909091,0.896551724137931,1.0,0.9375,0.9375,0.955943051201672,0.033228686096131645,71,0.9794520547945206,0.9759450171821306,0.9759450171821306,0.9690721649484537,0.9761092150170648,0.9761092150170648,0.983050847457627,0.9727891156462586,0.9761092150170648,0.9795918367346939,0.976417369899701,0.003621283664488944,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.98125,0.028641098093473996,148,1.0,1.0,1.0,0.9929577464788732,0.9930555555555556,0.9930555555555556,1.0,0.9930555555555556,1.0,1.0,0.997212441314554,0.0034141532820553423,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8125,1.0,0.9375,0.9375,0.9334558823529411,0.05135096392999641,122,0.959731543624161,0.9530201342281879,0.9530201342281879,0.9463087248322147,0.959731543624161,0.959731543624161,0.9666666666666667,0.9533333333333334,0.9533333333333334,0.96,0.9564876957494406,0.005432078758915329,0.9634888438133874,1.0,1.0,0.9979716024340771,0.9939148073022313,0.9873949579831932,0.9913793103448275,1.0,0.997844827586207,0.997844827586207,0.9929839177050128,0.010603995925498823,23,0.9980898296334538,0.9956375838926175,0.9953020134228188,0.9954827052142489,0.9963345379452763,0.9960657255264985,0.9966923076923078,0.9952820512820513,0.995,0.9956923076923077,0.9959579062301579,0.0008626380454603442
334,0.013143014907836915,0.0033825674637591673,0.01706404685974121,0.002963190345090005,0.0774263682681127,8,5.994842503189409e-05,poly,"{'C': 0.0774263682681127, 'degree': 8, 'gamma': 5.994842503189409e-05, 'kernel': 'poly'}",0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6222222222222222,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.635217391304348,0.00789807057294591,343,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6356968215158925,0.6365853658536585,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6341463414634146,0.6351654839286779,0.0008707622119059368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5294117647058824,0.5294117647058824,0.5,0.5,0.5,0.53125,0.5,0.5090073529411765,0.013767142899524106,563,0.5134228187919463,0.5134228187919463,0.5134228187919463,0.5067114093959731,0.5100671140939598,0.5100671140939598,0.5133333333333333,0.5133333333333333,0.51,0.5133333333333333,0.5117114093959731,0.0022364036831192353
