,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,split5_train_f1,split6_train_f1,split7_train_f1,split8_train_f1,split9_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,split5_train_precision,split6_train_precision,split7_train_precision,split8_train_precision,split9_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,split5_train_recall,split6_train_recall,split7_train_recall,split8_train_recall,split9_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,split5_train_roc_auc,split6_train_roc_auc,split7_train_roc_auc,split8_train_roc_auc,split9_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,0.04213404655456543,0.004083300315069553,0.01310105323791504,0.002201723188440189,0.01,10,"{'learning_rate': 0.01, 'n_estimators': 10}",0.9565217391304348,1.0,0.9782608695652174,0.8913043478260869,0.9130434782608695,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9555555555555556,0.9494685990338164,0.039324502359203095,14,0.9877750611246944,0.9828850855745721,0.9951100244498777,0.9853300733496333,0.9853300733496333,0.9878048780487805,0.9878048780487805,0.9804878048780488,0.9878048780487805,0.9829268292682927,0.9863259586141094,0.003811595733098234,0.923076923076923,1.0,0.972972972972973,0.8648648648648649,0.8333333333333333,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.9444444444444444,0.9278467706053913,0.05627331900547431,15,0.9833887043189369,0.977198697068404,0.9931506849315068,0.979310344827586,0.98,0.9831649831649831,0.9825783972125435,0.9722222222222222,0.983050847457627,0.9757785467128027,0.9809843427916614,0.005360455783157473,1.0,1.0,1.0,0.8888888888888888,0.9090909090909091,1.0,0.8947368421052632,1.0,1.0,1.0,0.9692716640085062,0.04716796360261269,13,0.9932885906040269,0.9933774834437086,1.0,0.993006993006993,1.0,0.9931972789115646,1.0,1.0,0.9863945578231292,0.9929577464788732,0.9952222650268295,0.004364788418416575,0.8571428571428571,1.0,0.9473684210526315,0.8421052631578947,0.7692307692307693,0.8125,0.85,1.0,0.9444444444444444,0.8947368421052632,0.8917528597133861,0.07484116549120491,15,0.9736842105263158,0.9615384615384616,0.9863945578231292,0.9659863945578231,0.9607843137254902,0.9733333333333334,0.9657534246575342,0.9459459459459459,0.9797297297297297,0.9591836734693877,0.9672334045307152,0.010944645054634428,0.9285714285714286,1.0,0.9736842105263157,0.8840155945419104,0.8694638694638696,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9473684210526316,0.9366575746378377,0.04660444969089947,15,0.9848965799713292,0.9787929461842506,0.9931972789115646,0.9810848003323467,0.9803921568627452,0.9847435897435898,0.9828767123287672,0.972972972972973,0.9860480709717351,0.9776906960502831,0.9822695804329585,0.005210475447371436
1,0.07661545276641846,0.005905897075331171,0.014749407768249512,0.004842893211338896,0.01,20,"{'learning_rate': 0.01, 'n_estimators': 20}",0.9347826086956522,1.0,0.9782608695652174,0.9130434782608695,0.9565217391304348,0.9333333333333333,0.9111111111111111,1.0,0.9777777777777777,0.9333333333333333,0.953816425120773,0.031831460055811105,11,0.9951100244498777,0.9877750611246944,0.9951100244498777,0.9902200488997555,0.9853300733496333,0.9902439024390244,0.9902439024390244,0.9902439024390244,0.9975609756097561,0.9853658536585366,0.9907203768859205,0.003907229073149649,0.888888888888889,1.0,0.9743589743589743,0.8888888888888888,0.9166666666666666,0.896551724137931,0.8947368421052632,1.0,0.9714285714285714,0.9142857142857143,0.9345806270760899,0.044092476254359705,12,0.9933774834437086,0.9838187702265372,0.9931506849315068,0.9862068965517241,0.98,0.9864864864864865,0.9861111111111112,0.9863013698630138,0.9966101694915254,0.9791666666666666,0.9871229638772279,0.005416268341046806,0.9230769230769231,1.0,0.95,0.9411764705882353,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9758697838109602,0.030234274913678402,11,1.0,0.9934640522875817,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993464052287582,0.001960784313725483,0.8571428571428571,1.0,1.0,0.8421052631578947,0.8461538461538461,0.8125,0.85,1.0,0.9444444444444444,0.8421052631578947,0.8994451674056936,0.07319031652878183,13,0.9868421052631579,0.9743589743589743,0.9863945578231292,0.9727891156462585,0.9607843137254902,0.9733333333333334,0.9726027397260274,0.972972972972973,0.9932432432432432,0.9591836734693877,0.9752505029561975,0.01035583955849741,0.9129464285714286,1.0,0.9814814814814815,0.9025341130604289,0.9230769230769231,0.90625,0.905,1.0,0.9722222222222222,0.9210526315789473,0.942456379999143,0.03878619741308998,12,0.993421052631579,0.9852032025945071,0.9931972789115646,0.9863945578231292,0.9803921568627452,0.9866666666666667,0.9863013698630136,0.9864864864864865,0.9966216216216216,0.9795918367346939,0.9874276230196006,0.005228628666408215
2,0.20353116989135742,0.05468297336585694,0.023583388328552245,0.007547494224018028,0.01,30,"{'learning_rate': 0.01, 'n_estimators': 30}",0.9565217391304348,1.0,0.9565217391304348,0.9347826086956522,0.9565217391304348,0.9333333333333333,0.9333333333333333,1.0,0.9777777777777777,0.9777777777777777,0.9626570048309178,0.02419904122308557,6,0.9951100244498777,0.9902200488997555,0.9926650366748166,0.9926650366748166,0.9902200488997555,0.9926829268292683,0.9926829268292683,0.9926829268292683,0.9926829268292683,0.9878048780487805,0.9919416780964877,0.0019058814609757778,0.923076923076923,1.0,0.9473684210526315,0.918918918918919,0.9166666666666666,0.896551724137931,0.9189189189189189,1.0,0.9714285714285714,0.972972972972973,0.9465903117173535,0.03535866966343152,8,0.9933774834437086,0.9870129870129869,0.9896907216494846,0.9896907216494846,0.9867549668874172,0.98989898989899,0.9896193771626297,0.9897610921501706,0.9897610921501706,0.9826989619377162,0.988826639394276,0.0026619132870471696,1.0,1.0,0.9473684210526315,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.9891812865497076,0.021647302946058027,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.9473684210526315,0.8947368421052632,0.8461538461538461,0.8125,0.85,1.0,0.9444444444444444,0.9473684210526315,0.9099714831951674,0.06355205134834373,10,0.9868421052631579,0.9743589743589743,0.9795918367346939,0.9795918367346939,0.9738562091503268,0.98,0.9794520547945206,0.9797297297297297,0.9797297297297297,0.9659863945578231,0.977913887105365,0.0051963808425214315,0.9285714285714286,1.0,0.9551656920077973,0.9288499025341131,0.9230769230769231,0.90625,0.925,1.0,0.9722222222222222,0.9736842105263157,0.95128203789388,0.031992877360979055,9,0.993421052631579,0.9871794871794872,0.9897959183673469,0.9897959183673469,0.9869281045751634,0.99,0.9897260273972603,0.9898648648648649,0.9898648648648649,0.9829931972789115,0.9889569435526825,0.0025981904212607227
3,0.5008402824401855,0.08229457309648257,0.04549102783203125,0.014691163985020628,0.01,40,"{'learning_rate': 0.01, 'n_estimators': 40}",0.9565217391304348,1.0,0.9565217391304348,0.9347826086956522,0.9565217391304348,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9555555555555556,0.9559903381642512,0.031329126294169056,10,0.9951100244498777,0.9926650366748166,0.9926650366748166,0.9926650366748166,0.9926650366748166,0.9951219512195122,0.9975609756097561,0.9926829268292683,0.9926829268292683,0.9926829268292683,0.9936501878466217,0.0016211213469256387,0.923076923076923,1.0,0.9473684210526315,0.918918918918919,0.9166666666666666,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.9444444444444444,0.9390250541520959,0.040083956601870446,10,0.9933774834437086,0.9902912621359222,0.9896907216494846,0.9896907216494846,0.99009900990099,0.9932885906040269,0.9965635738831615,0.9897610921501706,0.9897610921501706,0.9896907216494846,0.9912214269216604,0.002255651507915173,1.0,1.0,0.9473684210526315,0.9444444444444444,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,0.978654970760234,0.035186265123037866,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.9473684210526315,0.8947368421052632,0.8461538461538461,0.8125,0.85,1.0,0.9444444444444444,0.8947368421052632,0.9047083253004307,0.06240607929008121,12,0.9868421052631579,0.9807692307692307,0.9795918367346939,0.9795918367346939,0.9803921568627451,0.9866666666666667,0.9931506849315068,0.9797297297297297,0.9797297297297297,0.9795918367346939,0.9826055814156847,0.004446349116741356,0.9285714285714286,1.0,0.9551656920077973,0.9288499025341131,0.9230769230769231,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9473684210526316,0.9446504589465116,0.03607171428506234,10,0.993421052631579,0.9903846153846154,0.9897959183673469,0.9897959183673469,0.9901960784313726,0.9933333333333334,0.9965753424657534,0.9898648648648649,0.9898648648648649,0.9897959183673469,0.9913027907078424,0.002223174558370676
4,0.5889755010604858,0.22689393628022775,0.0518972635269165,0.02237006669946523,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.9565217391304348,1.0,0.9782608695652174,0.9347826086956522,0.9565217391304348,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9111111111111111,0.953719806763285,0.035033182244833615,12,0.9951100244498777,0.9926650366748166,0.9951100244498777,0.9926650366748166,0.9926650366748166,0.9951219512195122,0.9975609756097561,0.9951219512195122,0.9926829268292683,0.9926829268292683,0.9941385890631521,0.0016212982562897695,0.923076923076923,1.0,0.9743589743589743,0.918918918918919,0.9166666666666666,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.8823529411764706,0.9355149591559329,0.04506135910479818,11,0.9933774834437086,0.9902912621359222,0.9931506849315068,0.9896907216494846,0.99009900990099,0.9932885906040269,0.9965635738831615,0.9931972789115647,0.9897610921501706,0.9896907216494846,0.991911041926002,0.0022197824215211973,1.0,1.0,0.95,0.9444444444444444,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,0.9789181286549707,0.034960404987607156,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.8947368421052632,0.8461538461538461,0.8125,0.85,1.0,0.9444444444444444,0.7894736842105263,0.8994451674056936,0.07688198133556319,13,0.9868421052631579,0.9807692307692307,0.9863945578231292,0.9795918367346939,0.9803921568627451,0.9866666666666667,0.9931506849315068,0.9864864864864865,0.9797297297297297,0.9795918367346939,0.9839615292002041,0.00437468681392135,0.9285714285714286,1.0,0.9814814814814815,0.9288499025341131,0.9230769230769231,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.8947368421052632,0.9420188799991432,0.04083181303820874,14,0.993421052631579,0.9903846153846154,0.9931972789115646,0.9897959183673469,0.9901960784313726,0.9933333333333334,0.9965753424657534,0.9932432432432432,0.9898648648648649,0.9897959183673469,0.991980764600102,0.002187343406960665
5,0.08355505466461181,0.024379421732492978,0.02715799808502197,0.012202215215315794,0.1,10,"{'learning_rate': 0.1, 'n_estimators': 10}",0.9347826086956522,1.0,0.9565217391304348,0.8913043478260869,0.9782608695652174,0.9333333333333333,0.8888888888888888,0.9777777777777777,0.9777777777777777,0.9555555555555556,0.9494202898550725,0.035497911947977176,15,0.9975550122249389,0.9926650366748166,0.9951100244498777,0.9902200488997555,0.9951100244498777,0.9975609756097561,0.9926829268292683,0.9975609756097561,0.9951219512195122,0.9975609756097561,0.9951147951577317,0.002444994756574857,0.888888888888889,1.0,0.9500000000000001,0.8648648648648649,0.962962962962963,0.896551724137931,0.8648648648648648,0.972972972972973,0.9714285714285714,0.9444444444444444,0.9316979294565503,0.046285477709579755,14,0.9966996699669968,0.9902912621359222,0.9931506849315068,0.9862068965517241,0.993421052631579,0.9966555183946488,0.9896193771626297,0.9966101694915254,0.9931972789115647,0.9965870307167235,0.9932438940894821,0.0034279247181003866,0.9230769230769231,1.0,0.9047619047619048,0.8888888888888888,0.9285714285714286,1.0,0.9411764705882353,0.9473684210526315,1.0,1.0,0.9533844036940012,0.04115255387199884,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.8421052631578947,1.0,0.8125,0.8,1.0,0.9444444444444444,0.8947368421052632,0.9150929406850461,0.07910109110225425,9,0.993421052631579,0.9807692307692307,0.9863945578231292,0.9727891156462585,0.9869281045751634,0.9933333333333333,0.9794520547945206,0.9932432432432432,0.9864864864864865,0.9931972789115646,0.9866014458214508,0.006749189190087192,0.9129464285714286,1.0,0.962962962962963,0.8840155945419104,0.9848484848484849,0.90625,0.88,0.9814814814814815,0.9722222222222222,0.9473684210526316,0.9432095595681123,0.04177817846222212,11,0.9967105263157895,0.9903846153846154,0.9931972789115646,0.9863945578231292,0.9934640522875817,0.9966666666666666,0.9897260273972603,0.9966216216216216,0.9932432432432432,0.9965986394557823,0.9933007229107256,0.00337459459504358
6,0.14868969917297364,0.05580120970806401,0.021634769439697266,0.008058607219585475,0.1,20,"{'learning_rate': 0.1, 'n_estimators': 20}",0.9347826086956522,1.0,0.9565217391304348,0.9130434782608695,0.9782608695652174,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9333333333333333,0.9515942028985508,0.03531979175090985,13,1.0,0.9975550122249389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997555012224939,0.0007334963325183242,0.888888888888889,1.0,0.9473684210526315,0.8888888888888888,0.9600000000000001,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.918918918918919,0.9343840285110703,0.0453160599563126,13,1.0,0.9967845659163987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99967845659164,0.0009646302250803761,0.9230769230769231,1.0,0.9473684210526315,0.9411764705882353,1.0,1.0,0.8947368421052632,1.0,1.0,0.9444444444444444,0.9650803101267498,0.03757706113160314,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,0.9473684210526315,0.8421052631578947,0.9230769230769231,0.8125,0.85,1.0,0.9444444444444444,0.8947368421052632,0.9071374750980015,0.06294018660988075,11,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993589743589745,0.0019230769230769162,0.9129464285714286,1.0,0.9551656920077973,0.9025341130604289,0.9615384615384616,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9281376518218624,0.9423794569222199,0.03913556337593636,13,1.0,0.9967948717948718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996794871794872,0.0009615384615384581
7,0.23990209102630616,0.06172354475647513,0.03009958267211914,0.008474486255419281,0.1,30,"{'learning_rate': 0.1, 'n_estimators': 30}",0.9347826086956522,1.0,1.0,0.9347826086956522,0.9782608695652174,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9555555555555556,0.9603381642512078,0.03536644335916015,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.888888888888889,1.0,1.0,0.918918918918919,0.9600000000000001,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.9444444444444444,0.9452027419613627,0.04640395758630852,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230769230769231,1.0,1.0,0.9444444444444444,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,0.976225820962663,0.037989203778677455,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.8947368421052632,0.9230769230769231,0.8125,0.85,1.0,0.9444444444444444,0.8947368421052632,0.9176637908874751,0.06437091291215037,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9129464285714286,1.0,1.0,0.9288499025341131,0.9615384615384616,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9473684210526316,0.9514175435918857,0.04009133378051221,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,0.309296989440918,0.056550329920319886,0.04188334941864014,0.025845161485691482,0.1,40,"{'learning_rate': 0.1, 'n_estimators': 40}",0.9565217391304348,1.0,0.9782608695652174,0.9347826086956522,1.0,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9555555555555556,0.9625120772946859,0.034383241354634046,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.923076923076923,1.0,0.9743589743589743,0.918918918918919,1.0,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.9444444444444444,0.9500574428160634,0.04387142629141804,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.95,0.9444444444444444,1.0,1.0,0.8947368421052632,1.0,1.0,1.0,0.9789181286549707,0.034960404987607156,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.8947368421052632,1.0,0.8125,0.85,1.0,0.9444444444444444,0.8947368421052632,0.925356098579783,0.06898867852483195,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,0.9814814814814815,0.9288499025341131,1.0,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9473684210526316,0.9549743455861878,0.03973659233086872,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,0.33273303508758545,0.07904870090940203,0.03238954544067383,0.010962766002559667,0.1,50,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9565217391304348,1.0,0.9782608695652174,0.9347826086956522,1.0,0.9333333333333333,0.8888888888888888,1.0,0.9777777777777777,0.9555555555555556,0.9625120772946859,0.034383241354634046,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.923076923076923,1.0,0.9743589743589743,0.918918918918919,1.0,0.896551724137931,0.8717948717948718,1.0,0.9714285714285714,0.9473684210526315,0.9503498404768822,0.04384277656791042,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.95,0.9444444444444444,1.0,1.0,0.8947368421052632,1.0,1.0,0.9473684210526315,0.973654970760234,0.035350006519250465,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.8947368421052632,1.0,0.8125,0.85,1.0,0.9444444444444444,0.9473684210526315,0.9306192564745197,0.06845755824550936,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,0.9814814814814815,0.9288499025341131,1.0,0.90625,0.8850000000000001,1.0,0.9722222222222222,0.9544534412955465,0.9556828476104793,0.03965774729202626,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.05738277435302734,0.01825932314517295,0.019149589538574218,0.010409004847721243,1,10,"{'learning_rate': 1, 'n_estimators': 10}",0.9782608695652174,1.0,1.0,0.9347826086956522,0.9565217391304348,0.9333333333333333,0.9333333333333333,1.0,0.9555555555555556,0.9777777777777777,0.9669565217391305,0.026562317715966174,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.962962962962963,1.0,1.0,0.9230769230769231,0.9166666666666666,0.896551724137931,0.9230769230769231,1.0,0.9411764705882353,0.9743589743589743,0.9537870644868617,0.03689629735265434,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9473684210526315,1.0,1.0,0.95,0.9797368421052631,0.03341276316592616,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.9473684210526315,0.8461538461538461,0.8125,0.9,1.0,0.8888888888888888,1.0,0.9323482584666796,0.06578382070046383,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9642857142857143,1.0,1.0,0.9366471734892787,0.9230769230769231,0.90625,0.9299999999999999,1.0,0.9444444444444444,0.9807692307692308,0.9585473486065592,0.03341905482972994,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.10441286563873291,0.02589824890820792,0.028847646713256837,0.024248355898062464,1,20,"{'learning_rate': 1, 'n_estimators': 20}",0.9565217391304348,1.0,1.0,0.9565217391304348,0.9782608695652174,0.9333333333333333,0.9111111111111111,0.9777777777777777,1.0,0.9777777777777777,0.9691304347826086,0.028385455597488667,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.9473684210526315,0.9600000000000001,0.896551724137931,0.8947368421052632,0.972972972972973,1.0,0.972972972972973,0.9573174361813199,0.03807480787359148,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.9473684210526315,1.0,1.0,0.9444444444444444,0.9473684210526315,1.0,1.0,0.9767752715121135,0.02886996127645254,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.9473684210526315,0.9230769230769231,0.8125,0.85,1.0,1.0,0.9473684210526315,0.9408885193753613,0.06266892800124807,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9486607142857143,1.0,1.0,0.9551656920077973,0.9615384615384616,0.90625,0.905,0.9814814814814815,1.0,0.9736842105263157,0.963178055983977,0.03378770569922415,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.252345871925354,0.06035367285530113,0.04332723617553711,0.019639692273833654,1,30,"{'learning_rate': 1, 'n_estimators': 30}",0.9565217391304348,1.0,1.0,0.9347826086956522,1.0,0.9333333333333333,0.9111111111111111,1.0,1.0,1.0,0.9735748792270531,0.03392119725257908,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.918918918918919,1.0,0.896551724137931,0.8947368421052632,1.0,1.0,1.0,0.9638778913733542,0.04517742068562389,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9817460317460318,0.028182985562801115,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.8947368421052632,1.0,0.8125,0.85,1.0,1.0,1.0,0.9485808270676692,0.06884715664125092,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9486607142857143,1.0,1.0,0.9288499025341131,1.0,0.90625,0.905,1.0,1.0,1.0,0.9688760616819827,0.03978080663186812,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13,0.25222651958465575,0.06634222142613168,0.02550497055053711,0.00896221807380612,1,40,"{'learning_rate': 1, 'n_estimators': 40}",0.9782608695652174,1.0,1.0,0.9565217391304348,1.0,0.9333333333333333,0.9111111111111111,1.0,1.0,0.9777777777777777,0.9757004830917875,0.03049227756894667,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.962962962962963,1.0,1.0,0.9444444444444444,1.0,0.896551724137931,0.8947368421052632,1.0,1.0,0.972972972972973,0.9671668946623575,0.04023726156582805,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9944444444444445,0.016666666666666673,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,0.8947368421052632,1.0,0.8125,0.85,1.0,1.0,0.9473684210526315,0.9433176691729324,0.06669320808665635,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9642857142857143,1.0,1.0,0.9473684210526316,1.0,0.90625,0.905,1.0,1.0,0.9736842105263157,0.9696588345864662,0.03653260652579248,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,0.287225604057312,0.05611721203415199,0.02702031135559082,0.009018143275086895,1,50,"{'learning_rate': 1, 'n_estimators': 50}",0.9565217391304348,1.0,0.9782608695652174,0.9782608695652174,1.0,0.9333333333333333,0.9111111111111111,1.0,0.9777777777777777,0.9777777777777777,0.971304347826087,0.028168186929290066,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,0.972972972972973,0.972972972972973,1.0,0.896551724137931,0.8947368421052632,1.0,0.9714285714285714,0.972972972972973,0.9610207485162114,0.038337717254865754,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,1.0,1.0,1.0,0.9873015873015873,0.02564364193873573,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9285714285714286,1.0,0.9473684210526315,0.9473684210526315,1.0,0.8125,0.85,1.0,0.9444444444444444,0.9473684210526315,0.9377621136173768,0.05951421247326474,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9486607142857143,1.0,0.9736842105263157,0.9736842105263157,1.0,0.90625,0.905,1.0,0.9722222222222222,0.9736842105263157,0.9653185568086883,0.03357220130475915,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
