,accuracy,precision,recall,f1,roc_auc,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split
867,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9445903361344538,5,log2,10,5,15
916,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,15,5,15
965,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,20,5,15
1014,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,25,5,15
1063,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,30,5,15
1112,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,35,5,15
1161,0.8944444444444445,0.8543031078828293,0.8676470588235293,0.8560291812649824,0.9469121269197334,5,log2,40,5,15
868,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,2
869,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,4
870,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,6
871,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,8
872,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,10
873,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9378087873080266,5,log2,10,6,12
917,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,2
918,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,4
919,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,6
920,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,8
921,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,10
922,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,15,6,12
966,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,20,6,2
967,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,20,6,4
968,0.8944444444444445,0.866920988368357,0.8433823529411765,0.8509801616571394,0.9384028180237612,5,log2,20,6,6
