,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
152,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,l1,newton-cg
153,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,l1,newton-cholesky
154,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,l1,sag
156,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,lbfgs
157,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,liblinear
158,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,newton-cg
159,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,newton-cholesky
160,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,sag
161,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,elasticnet,saga
163,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,,liblinear
174,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,l1,lbfgs
176,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,l1,newton-cg
177,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,l1,newton-cholesky
178,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,l1,sag
180,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,lbfgs
181,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,liblinear
182,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,newton-cg
183,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,newton-cholesky
184,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,sag
185,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,elasticnet,saga
187,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,,liblinear
198,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,l1,lbfgs
200,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,l1,newton-cg
201,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,l1,newton-cholesky
202,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,l1,sag
204,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,lbfgs
205,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,liblinear
206,-1.0,-1.0,-1.0,-1.0,-1.0,1000.0,elasticnet,newton-cg
