,accuracy,precision,recall,f1,roc_auc,learning_rate,n_estimators
12,0.6447447447447446,0.5067735940530058,0.5446825396825397,0.5175135728194682,0.6249695871761091,1.0,30
14,0.6581831831831833,0.5243605809395283,0.4841269841269841,0.4974545519448069,0.6198925434468913,1.0,50
13,0.6583333333333333,0.5271657509157509,0.4932936507936508,0.5008890415229769,0.6224780412823891,1.0,40
10,0.6828828828828829,0.5696027501909855,0.5900396825396825,0.5738973865503343,0.6647406675450154,1.0,10
11,0.6855105105105105,0.5692447748330102,0.5384325396825397,0.5439729762785791,0.6566336423238598,1.0,20
7,0.6940690690690692,0.6041070041070042,0.4988888888888889,0.537256986225502,0.6542515214254344,0.1,30
8,0.694144144144144,0.6201964701964702,0.4834126984126984,0.5317328002665335,0.6501930798669928,0.1,40
1,0.6968468468468468,0.6333710733710733,0.4366071428571428,0.5050812054290316,0.6435775221155656,0.01,20
3,0.6994744744744745,0.6145940497411087,0.4719246031746031,0.5235372090816102,0.6525147201831984,0.01,40
6,0.6994744744744745,0.6146409146409146,0.505079365079365,0.5464391084511024,0.6596945856076291,0.1,20
2,0.6995495495495496,0.6189538239538239,0.4714484126984127,0.5258865204631795,0.6523599582784365,0.01,30
9,0.7076576576576576,0.6373898323898324,0.5193650793650793,0.5615315265000425,0.6680610452349582,0.1,50
4,0.712987987987988,0.6418957431457432,0.4852579365079364,0.5422602884021648,0.6653552998933433,0.01,50
5,0.7157657657657658,0.644493006993007,0.491031746031746,0.5438388278388279,0.6699128709454797,0.1,10
0,0.721096096096096,0.6806672494172494,0.4651190476190476,0.5355812456041289,0.6687422360248447,0.01,10
