,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
12,0.6017267267267268,0.4468534325151972,0.4021978021978022,0.4154909275907486,0.5584358576206402,1,7,uniform
13,0.6017267267267268,0.4468534325151972,0.4021978021978022,0.4154909275907486,0.5584358576206402,1,7,distance
26,0.6017267267267268,0.4468534325151972,0.4021978021978022,0.4154909275907486,0.5584358576206402,1,7,uniform
27,0.6017267267267268,0.4468534325151972,0.4021978021978022,0.4154909275907486,0.5584358576206402,1,7,distance
41,0.6017267267267268,0.4468534325151972,0.4021978021978022,0.4154909275907486,0.5987279025322504,2,7,distance
10,0.6043543543543543,0.4585184831508361,0.4021978021978022,0.4177368603464265,0.5606097706641184,1,6,uniform
11,0.6043543543543543,0.4585184831508361,0.4021978021978022,0.4177368603464265,0.5606097706641184,1,6,distance
24,0.6043543543543543,0.4585184831508361,0.4021978021978022,0.4177368603464265,0.5606097706641184,1,6,uniform
25,0.6043543543543543,0.4585184831508361,0.4021978021978022,0.4177368603464265,0.5606097706641184,1,6,distance
39,0.6043543543543543,0.4585184831508361,0.4021978021978022,0.4177368603464265,0.5931249004618568,2,6,distance
8,0.607057057057057,0.462797619047619,0.4021978021978022,0.4175169275169275,0.5627836837075969,1,5,uniform
9,0.607057057057057,0.462797619047619,0.4021978021978022,0.4175169275169275,0.5627836837075969,1,5,distance
22,0.607057057057057,0.462797619047619,0.4021978021978022,0.4175169275169275,0.5627836837075969,1,5,uniform
23,0.607057057057057,0.462797619047619,0.4021978021978022,0.4175169275169275,0.5627836837075969,1,5,distance
37,0.607057057057057,0.462797619047619,0.4021978021978022,0.4175169275169275,0.5929278149386845,2,5,distance
71,0.6120870870870871,0.4536255411255411,0.3802197802197802,0.4093562718030483,0.6575091575091575,5,1,distance
6,0.6124624624624625,0.4643740573152338,0.4093406593406593,0.4238376028418104,0.5683478659022138,1,4,uniform
7,0.6124624624624625,0.4643740573152338,0.4093406593406593,0.4238376028418104,0.5683478659022138,1,4,distance
20,0.6124624624624625,0.4643740573152338,0.4093406593406593,0.4238376028418104,0.5683478659022138,1,4,uniform
21,0.6124624624624625,0.4643740573152338,0.4093406593406593,0.4238376028418104,0.5683478659022138,1,4,distance
35,0.6124624624624625,0.4643740573152338,0.4093406593406593,0.4238376028418104,0.6010949195731805,2,4,distance
58,0.6125375375375375,0.4308333333333333,0.1714285714285714,0.240657347468493,0.6403806338588948,4,2,uniform
70,0.6147897897897899,0.4568306693306693,0.3873626373626373,0.4147693772161537,0.6539974518235387,5,1,uniform
4,0.6150900900900901,0.4748167600373483,0.4247252747252747,0.4376199970260037,0.5737756808408984,1,3,uniform
5,0.6150900900900901,0.4748167600373483,0.4247252747252747,0.4376199970260037,0.5737756808408984,1,3,distance
18,0.6150900900900901,0.4748167600373483,0.4247252747252747,0.4376199970260037,0.5737756808408984,1,3,uniform
19,0.6150900900900901,0.4748167600373483,0.4247252747252747,0.4376199970260037,0.5737756808408984,1,3,distance
33,0.6150900900900901,0.4748167600373483,0.4247252747252747,0.4376199970260037,0.6120023092849181,2,3,distance
40,0.6207207207207208,0.4354761904761904,0.1774725274725274,0.2440901934322986,0.601522933588151,2,7,uniform
73,0.622897897897898,0.4787878787878787,0.3565934065934066,0.3999307549810982,0.6442128523650263,5,2,distance
0,0.6231981981981982,0.4886856199356199,0.4258241758241758,0.4453748339505461,0.5804845516802039,1,1,uniform
1,0.6231981981981982,0.4886856199356199,0.4258241758241758,0.4453748339505461,0.5804845516802039,1,1,distance
14,0.6231981981981982,0.4886856199356199,0.4258241758241758,0.4453748339505461,0.5804845516802039,1,1,uniform
15,0.6231981981981982,0.4886856199356199,0.4258241758241758,0.4453748339505461,0.5804845516802039,1,1,distance
29,0.6231981981981982,0.4886856199356199,0.4258241758241758,0.4453748339505461,0.6190864389233954,2,1,distance
30,0.6232732732732733,0.4492063492063492,0.1862637362637362,0.2542587641117053,0.585868569835961,2,2,uniform
88,0.6233483483483482,0.446904761904762,0.2005494505494505,0.269036212325686,0.6545110686415034,6,3,uniform
103,0.6233483483483482,0.4523268398268397,0.3197802197802197,0.3665734989648033,0.6699554069119287,7,3,distance
34,0.6234234234234235,0.4465079365079365,0.1928571428571428,0.2591888812941444,0.5995660136964485,2,4,uniform
36,0.6234234234234235,0.4486291486291486,0.1928571428571428,0.2586333257385889,0.5920379439401179,2,5,uniform
85,0.6256756756756756,0.4742146742146742,0.3659340659340659,0.407011877011877,0.6638965201465201,6,1,distance
72,0.6256756756756758,0.482070707070707,0.356043956043956,0.400878054058832,0.6412933986303551,5,2,uniform
45,0.6259009009009009,0.4763888888888889,0.4027472527472528,0.4286958041958041,0.6226120799490363,3,2,distance
61,0.6259009009009009,0.4893434343434343,0.3956043956043956,0.4245013855540171,0.631838270425227,4,3,distance
62,0.625975975975976,0.4807142857142857,0.2159340659340659,0.2881797442323758,0.6341963290332855,4,4,uniform
102,0.6260510510510511,0.4533158508158508,0.3120879120879121,0.3606475730388774,0.669787187450231,7,3,uniform
68,0.6260510510510511,0.5171428571428571,0.2082417582417582,0.2784257022647115,0.6312290969899667,4,7,uniform
55,0.6261261261261262,0.4853819791319791,0.4027472527472527,0.4354447774447775,0.6202818920210225,3,7,distance
38,0.6262012012012013,0.4446212121212121,0.1851648351648351,0.2532477025898078,0.5970158464723683,2,6,uniform
127,0.6285285285285285,0.4886960261960262,0.3357142857142857,0.392026307026307,0.6790780777193821,9,1,distance
44,0.6286036036036036,0.4808760683760684,0.4098901098901099,0.4346787101787102,0.6185728221054307,3,2,uniform
59,0.6286036036036036,0.4867112054612054,0.3961538461538462,0.426337733920311,0.6387591575091575,4,2,distance
101,0.6286036036036037,0.4861688311688311,0.35,0.3927080745341614,0.6626960901417422,7,2,distance
86,0.6286786786786787,0.4471428571428572,0.2368131868131868,0.296441236781794,0.6543826644370123,6,2,uniform
60,0.6286786786786788,0.4970634920634921,0.2159340659340659,0.2908106272812155,0.6387770743749004,4,3,uniform
105,0.6287537537537539,0.4660943223443223,0.3357142857142857,0.3812941774726672,0.6718924191750278,7,4,distance
75,0.6287537537537539,0.4783116883116883,0.3664835164835164,0.4113229813664597,0.6528238971173753,5,3,distance
77,0.6288288288288288,0.4786147186147186,0.3587912087912088,0.4064033567631768,0.6569865822583214,5,4,distance
53,0.6288288288288288,0.4888656278362161,0.4021978021978022,0.4360833216962249,0.6168100015926102,3,6,distance
54,0.6288288288288288,0.4914425851925852,0.4098901098901099,0.4422140082140082,0.6161112438286351,3,7,uniform
117,0.6313813813813814,0.4616741102035219,0.3351648351648352,0.3767223289044921,0.6782379757923236,8,3,distance
111,0.6313813813813814,0.4789606145488497,0.3351648351648352,0.3796465697765095,0.672918657429527,7,7,distance
100,0.6313813813813814,0.4865476190476189,0.3346153846153846,0.3825226108750136,0.665308966395923,7,2,uniform
31,0.6313813813813814,0.5017893217893218,0.4329670329670329,0.4544501638069854,0.5882017439082656,2,2,distance
2,0.6313813813813814,0.5017893217893218,0.4329670329670329,0.4544501638069854,0.588403806338589,1,2,uniform
3,0.6313813813813814,0.5017893217893218,0.4329670329670329,0.4544501638069854,0.588403806338589,1,2,distance
16,0.6313813813813814,0.5017893217893218,0.4329670329670329,0.4544501638069854,0.588403806338589,1,2,uniform
17,0.6313813813813814,0.5017893217893218,0.4329670329670329,0.4544501638069854,0.588403806338589,1,2,distance
96,0.6313813813813814,0.5166666666666667,0.2230769230769231,0.2914452798663324,0.6581153448001275,6,7,uniform
118,0.6314564564564564,0.4491666666666666,0.2307692307692307,0.2984607463400033,0.6718117932791847,8,4,uniform
104,0.6314564564564564,0.4670833333333333,0.328021978021978,0.3752258014042911,0.6688883580187929,7,4,uniform
32,0.6314564564564564,0.4707142857142857,0.2082417582417582,0.2773751354088546,0.6134376493072144,2,3,uniform
79,0.6314564564564564,0.4794444444444444,0.3516483516483516,0.4005219338382756,0.6528438047459788,5,5,distance
89,0.6314564564564564,0.4827884615384615,0.3510989010989011,0.3956901450951794,0.6558329351807612,6,3,distance
94,0.6314564564564564,0.5228205128205128,0.2159340659340659,0.2874914559125086,0.6730918537983756,6,6,uniform
66,0.6314564564564564,0.5369047619047619,0.2082417582417582,0.2811324691820048,0.6357212533842969,4,6,uniform
106,0.6315315315315315,0.472739898989899,0.3280219780219781,0.374999017673671,0.6668050246854594,7,5,uniform
107,0.6315315315315316,0.4722270784770785,0.3434065934065934,0.3876632622399213,0.6691531294792165,7,5,distance
74,0.6315315315315316,0.4857864357864357,0.3659340659340659,0.4135798983625071,0.6549918378722727,5,3,uniform
52,0.6315315315315316,0.4949262338968221,0.4093406593406593,0.4428525524654557,0.6083482640547858,3,6,uniform
76,0.6316066066066067,0.4897005772005772,0.3582417582417582,0.4100171342899978,0.6589972527472527,5,4,uniform
141,0.6338588588588588,0.4889826839826839,0.3274725274725275,0.3864460561050949,0.6915681239050805,10,1,distance
