,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
55,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,1e-05,8,16.68100537200059,poly
58,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,1e-05,8,100.0,poly
115,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,5.994842503189409e-05,8,16.68100537200059,poly
118,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,5.994842503189409e-05,8,100.0,poly
172,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.00035938136638046257,8,2.782559402207126,poly
175,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.00035938136638046257,8,16.68100537200059,poly
178,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.00035938136638046257,8,100.0,poly
232,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0021544346900318843,8,2.782559402207126,poly
235,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0021544346900318843,8,16.68100537200059,poly
238,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0021544346900318843,8,100.0,poly
292,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.01291549665014884,8,2.782559402207126,poly
295,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.01291549665014884,8,16.68100537200059,poly
298,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.01291549665014884,8,100.0,poly
352,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0774263682681127,8,2.782559402207126,poly
355,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0774263682681127,8,16.68100537200059,poly
358,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.0774263682681127,8,100.0,poly
412,0.5231981981981981,0.3398739822269234,0.3917582417582417,0.3593395689163571,0.517305701544832,0.4641588833612782,8,2.782559402207126,poly
